CID	CanonicalSMILES	IUPACName	result	binding
26472394	CCN(C1=CC=C(C=C1)C)NC=C2C3=CC=CC=C3C(=O)N(C2=O)C4=CC=C(C=C4)OCC	(4Z)-2-(4-ethoxyphenyl)-4-[[2-ethyl-2-(4-methylphenyl)hydrazinyl]methylidene]isoquinoline-1,3-dione	0	0
42199934	CC1=CC=C(C=C1)C(=O)NC2=NN=C(C=C2)SCCNC(=O)C3=CC(=CC=C3)F	3-fluoro-N-[2-[6-[(4-methylbenzoyl)amino]pyridazin-3-yl]sulfanylethyl]benzamide	0	0
81911992	C1=COC(=C1)CCNC2=NC(=NC3=C2C=NN3)N	4-N-[2-(furan-2-yl)ethyl]-1H-pyrazolo[3,4-d]pyrimidine-4,6-diamine	0	0
33965659	CC1=NOC(=C1)C(=O)OC(C)C(=O)NC2=C(N(N(C2=O)C3=CC=CC=C3)C)C	[(2R)-1-[(1,5-dimethyl-3-oxo-2-phenylpyrazol-4-yl)amino]-1-oxopropan-2-yl] 3-methyl-1,2-oxazole-5-carboxylate	0	0
53432203	CC(=O)NC(CSCC=CCl)C(=O)O	2-acetamido-3-(3-chloroprop-2-enylsulfanyl)propanoic acid	0	0
47094781	CC1=NC2=C(S1)C=C(C3=C2SC=C3)OCC(=O)N	2-(2-methylthieno[2,3-e][1,3]benzothiazol-5-yl)oxyacetamide	0	0
54731240	COC1=CC2=C3C(=C1)C(=C(C(=O)N3CCO2)C(=O)N4CCC5=CC(=C(C=C54)F)F)O	11-(5,6-difluoro-2,3-dihydroindole-1-carbonyl)-10-hydroxy-7-methoxy-4-oxa-1-azatricyclo[7.3.1.05,13]trideca-5,7,9(13),10-tetraen-12-one	0	0
28075917	CS(=O)(=O)C1=CC=CC(=C1)C(=O)OCC(=O)NCCCSC2=CC=CC=C2	[2-oxo-2-(3-phenylsulfanylpropylamino)ethyl] 3-methylsulfonylbenzoate	0	0
77351789	C1C(C(OC1(C2=CC(=O)C=C3C2C=NC(=N3)N)O)CO)O	2-amino-5-[2,4-dihydroxy-5-(hydroxymethyl)oxolan-2-yl]-4aH-quinazolin-7-one	0	0
123970932	CC(C)C1=C(C=C(C=C1)OC)N2C(=O)CSC2=NC(=O)NCCCCC3=CC=CC(=C3)C4=NN(C=N4)C5=CC=C(C=C5)OC(F)(F)F	1-[3-(5-methoxy-2-propan-2-ylphenyl)-4-oxo-1,3-thiazolidin-2-ylidene]-3-[4-[3-[1-[4-(trifluoromethoxy)phenyl]-1,2,4-triazol-3-yl]phenyl]butyl]urea	0	0
39736961	CCCCN1C(=O)C=CC(=N1)C(=O)NC2=CC(=C(C=C2)OCC)S(=O)(=O)N3CCCCC3	1-butyl-N-(4-ethoxy-3-piperidin-1-ylsulfonylphenyl)-6-oxopyridazine-3-carboxamide	0	0
4783685	CN(C)S(=O)(=O)C1=CC=C(C=C1)C(=O)NCC2CC2(Cl)Cl	N-[(2,2-dichlorocyclopropyl)methyl]-4-(dimethylsulfamoyl)benzamide	0	0
69162862	CC1=CNC(=O)NC1=O.C1CCCOCC1	5-methyl-1H-pyrimidine-2,4-dione;oxepane	0	0
66054810	CN(C)CC1CC(CN1CC(=O)N(C)CCCN)O	N-(3-aminopropyl)-2-[2-[(dimethylamino)methyl]-4-hydroxypyrrolidin-1-yl]-N-methylacetamide	0	0
123035699	CC1=CC(=C(C=C1)C)N2C(C(=C(C3=CC=C(C=C3)F)O)C(=O)C2=O)C4=CC=C(C=C4)OCC(C)C	(4E)-1-(2,5-dimethylphenyl)-4-[(4-fluorophenyl)-hydroxymethylidene]-5-[4-(2-methylpropoxy)phenyl]pyrrolidine-2,3-dione	0	0
116410995	CCSCCC(C)NCC1=C(NC=N1)C	4-ethylsulfanyl-N-[(5-methyl-1H-imidazol-4-yl)methyl]butan-2-amine	0	0
49516859	CCC1=NC(=C(S1)C(=O)OCC(=O)NC(C2=CC=CC=C2)C(=O)NC)C	[2-[[2-(methylamino)-2-oxo-1-phenylethyl]amino]-2-oxoethyl] 2-ethyl-4-methyl-1,3-thiazole-5-carboxylate	0	0
45802946	CNC(=O)C1=C(NN=C1)C2=CC3=C(C=C2)OCCO3	5-(2,3-dihydro-1,4-benzodioxin-6-yl)-N-methyl-1H-pyrazole-4-carboxamide	0	0
45385522	C1=CC=C(C=C1)C2=CSC(=C2)C(=O)NC3=CC=C(C=C3)S(=O)(=O)NCC(=O)O	2-[[4-[(4-phenylthiophene-2-carbonyl)amino]phenyl]sulfonylamino]acetic acid	0	0
32055894	CN(CC(=O)NC1=C(C(=C(C=C1)F)F)F)C(=O)C2=CC=CC=C2SCC(=O)NC3CC3	2-[2-(cyclopropylamino)-2-oxoethyl]sulfanyl-N-methyl-N-[2-oxo-2-(2,3,4-trifluoroanilino)ethyl]benzamide	0	0
